地域,章,名称,国名,登録基準,場所,特殊遺産,時代・王朝,人種・民族,政治家,芸術家,生物,植物,構成資産,構成資産の詳細,美術品,建築・絵画の様式,文化,宗教,バイオーム,特徴
日本,平泉－仏国土（浄土）を表す建築・庭園及び考古学的遺跡群ー,総評,岩手県,(ⅱ)(ⅵ),,,,,,,,,,,,,,末法思想,,"極楽浄土信仰を含む浄土思想
仏国土（浄土）を空間的に表現する
奥州の産金をもとに蓄積した莫大な富"
日本,平泉－仏国土（浄土）を表す建築・庭園及び考古学的遺跡群ー,中尊寺,,,,,,,藤原清衡,慈覚大師円仁,,,中尊寺金色堂,藤原氏三代（清衡、基衡、秀衡）の遺体と泰衡の首級が安置されている,,,,,,"藤原清衡が現世における仏国土（浄土）を表す中核として最初に造営した
供養願文には人々を浄土へ導くとともに仏国土をつくろうとした清衡の強い願いが表れている"
日本,平泉－仏国土（浄土）を表す建築・庭園及び考古学的遺跡群ー,毛越寺,,,,,,,藤原基衡,,,,"大泉が池
遣水
曲水の宴",,,,,,,
日本,平泉－仏国土（浄土）を表す建築・庭園及び考古学的遺跡群ー,観自在王院跡,,,,,,,藤原基衡の妻,,,,,,,,,,,
日本,平泉－仏国土（浄土）を表す建築・庭園及び考古学的遺跡群ー,無量光院跡,,,,,,,藤原秀衡,,,,,,,,,,,西方極楽浄土を表現している
日本,平泉－仏国土（浄土）を表す建築・庭園及び考古学的遺跡群ー,金鶏山,,,,,,,,,,,,,,,,,,仏国土（浄土）の表現を目的とする寺院や、住居、政務の場としての居館を造営するにあたり、金鶏山との位置関係が重要な意味を持った
日本,日光の社寺,総評,栃木県,(ⅰ)(ⅳ)(ⅵ),,,,,,"甲良豊後守宗広
狩野探幽",,,,,,権現造,,,,"大名、代々の将軍、例幣使、朝鮮通信使の参詣は江戸時代の政治体制を支える上で重要な役割を果たした
視覚的な効果を生み出すため山の斜面に配置されている
寛永の大造替により権現造の豪華な社殿群となった"
日本,日光の社寺,二荒山神社,,,,,,,,,,,"本殿、石の間、拝殿
神橋
神輿舎
別宮滝尾神社本殿",,,八棟造,,"大己貴命
田心姫命
味耜高彦根命",,神輿舎は創建当時の東照宮建築を唯一残すもの
日本,日光の社寺,東照宮,,,,,,,徳川家康,天海,,,本殿、石の間、拝殿/正面および背面唐門/陽明門/東西廻廊/神厩舎/五重塔/三神庫/奥社宝塔,本殿と拝殿をつなぐ「石の間」が本殿や拝殿よりも一段低く石敷になっている//建築装飾技法は、表現や耐久性に応じて使い分けられている:「司馬温公の甕割り」//書院造の馬屋の形式/心柱は第四層目から吊り下げられ、下部は礎石から10cmほど浮いている,,,,,,"山の地形を利用して造営された
日光御宮并御脇堂社結構書が今日に至るまでの修復の際の基準となっている"
日本,日光の社寺,輪王寺,,,,,,,徳川家光,勝道上人,,,本堂（三仏堂）/大猷院霊廟本堂/、相の間、拝殿/大猷院霊廟唐門、夜叉門、皇嘉門/常行堂、慈眼堂,日光三所権現本地仏:本地垂迹/「相の間」が拝殿と同じ高さにある/密陀塗,,,,,,
日本,富岡製糸場と絹産業遺産群,総評,群馬県,(ⅱ)(ⅳ),,,,,,,,,,,,,,,,"高品質な生糸の大量生産
民衆が絹製品を消費するという近代特有の大衆消費文化
製糸技術と養蚕技術の革新と発展"
日本,富岡製糸場と絹産業遺産群,富岡製糸場,,,,,,,,ポール・ブリュナ,,,繰糸場/東置繭所（東繭倉庫）、西置繭所（西繭倉庫）/首長館/女工館、検査人館/鉄水溜（鉄水槽）,キングポストトラス構造:内部に柱がない広い空間/フランドル積み/コロニアル様式,,"木骨レンガ造
トラス構造",,,,
日本,富岡製糸場と絹産業遺産群,田島弥平旧宅,,,,,,,,,,,,,,越屋根,,,,"砂質の土壌のため桑の栽培に適している
清涼育"
日本,富岡製糸場と絹産業遺産群,高山社跡,,,,,,,,,,,,,,,,,,清温育
日本,富岡製糸場と絹産業遺産群,荒船風穴,,,,,,,,,,,,,,,,,,"地中には空間が多い
自然の清涼育"
日本,ル・コルビュジエの建築作品：近代建築運動への顕著な貢献,総評,"アルゼンチン
インド
スイス
ドイツ
日本
フランス
ベルギー",(ⅰ)(ⅱ)(ⅵ),,,,,,"前川國男
坂倉準三
吉阪隆正
",,,"レマン湖畔の小さな家
シテ・フリュージェ（ペサックの集合住宅）
ギエット邸
ヴァイセンホフ・ジードルングの住宅
イムーブル・クラルテ
ポルト・モリトーの集合住宅
マルセイユのユニテ・ダピタシオン
クルチェット邸
ノートル・ダム・デュ・オ礼拝堂（ロンシャンの礼拝堂）
ル・コルビュジエの休暇小屋（カップ・マルタンの休暇小屋）
チャンディガールのキャピトル・コンプレックス
サント・マリー・ドゥ・ラ・トゥーレット修道院（ラ・トゥーレットの修道院）
フェルミニ・ヴェールの身体と精神のレクリエーション・センター（フェルミニの文化の家）",,,"モデュロール
エプリス・ヌーヴォー
ピュリスム",近代建築の五原則|ピロティ:屋上庭園:自由な平面設計:水平連続窓:自由なファサード,,,"近代建築の概念が全地球的規模に広がり実践されたことを証明
住宅は住むための機械という言葉に象徴されるように機能主義の建築家として近代建築運動を推進した
ドミノシステムとは鉄筋コンクリートの床面と柱、階段のみを建築の主要な要素とするもの
CIAMでは中心的な役割を担った"
日本,ル・コルビュジエの建築作品：近代建築運動への顕著な貢献,国立西洋美術館,日本,,,,,,,,,,,,,,無限成長美術館,,,松方幸次郎の美術品コレクション
日本,ル・コルビュジエの建築作品：近代建築運動への顕著な貢献,ラ・ロッシュとジャンヌレ鄭,フランス,,,,,,,,,,,,,建築的プロムナード,,,,
日本,ル・コルビュジエの建築作品：近代建築運動への顕著な貢献,サヴォワ邸に庭師小屋,フランス,,,,,,,,,,,,,,,,,"近代建築の五原則の全てが用いられたピュリスムを実践する傑作
最小限の家の提案に対応する建築とされる"
日本,ル・コルビュジエの建築作品：近代建築運動への顕著な貢献,サン・ディエの工場,フランス,,,,,,,,,,,,,,,,,ブリーズ・ソレイユが設置されている
日本,富士山－信仰の対象と芸術の源泉－,総評,"静岡県
山梨県",(ⅲ)(ⅵ),,,,,,,,,"山宮浅間神社
村山浅間神社
須山浅間神社
冨士浅間神社（須走浅間神社）
河口浅間神社
冨士御室浅間神社
御師住宅（旧外川家住宅）
御師住宅（小佐野家住宅）
山中湖
河口湖
吉田胎内樹型
人穴富士講遺跡
白糸ノ滝",,,,"登拝
擬死再生
富士講",浅間大神,,"富士山は日本や日本文化の象徴として、記号化された意味を持つ
国家の宗教政策の一環として位置づけられた
「三保松原」を除外すれば登録がふさわしいとICOMOSが勧告した"
日本,富士山－信仰の対象と芸術の源泉－,富士山域,,,,,,,,長谷川角行,,,山頂の信仰遺跡群/大宮・村山口登山道/須山口登山道/須走口登山道/吉田口登山道/北口本宮冨士浅間神社/西湖/精進湖/本栖湖/,,,,,,,"噴火口（内院）の底に浅間大神が鎮座する
馬返より上方の標高約1500m以上の区域"
日本,富士山－信仰の対象と芸術の源泉－,富士山本宮浅間大社,,,,,,,,,,,,,,浅間造り,,木花佐久夜毘売命,,
日本,富士山－信仰の対象と芸術の源泉－,忍野八海,,,,,,,,,,,"出口池
お釜池
底抜池
銚子池
湧池
濁池
鏡池
菖蒲池",,,,,,,
日本,富士山－信仰の対象と芸術の源泉－,船津胎内樹型,,,,,,,,,,,,,,,,,,溶岩樹型
日本,富士山－信仰の対象と芸術の源泉－,三保松原,,,,,,,,,,,,,,,,,,羽衣伝説の舞台としても有名
日本,白川郷・五箇山の合掌造り集落,総評,"岐阜県
富山県",(ⅳ)(ⅴ),,,,,,,,,,,,"ウスバリ
チョウナバリ",結,浄土真宗,豪雪地帯,"光と風を確保する構造
床下での土壌分解は塩硝生産を隠して管理する意味がある
軸組と小屋組がウスバリで構造的・空間的に分けられおり、また軸組ではチョウナバリが用いられることもある
和紙・塩硝・養蚕が主要な産品となっていた"
